prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
210,CO-RF-FR-R92B-58,HL Road Frame - Black- 58,,R ,2003-07-01,
211,CO-RF-FR-R92R-58,HL Road Frame - Red- 58,,R ,2003-07-01,
212,AC-HE-HL-U509-R,Sport-100 Helmet- Red,12,S ,2011-07-01,2007-12-28
213,AC-HE-HL-U509-R,Sport-100 Helmet- Red,14,S ,2012-07-01,2008-12-27
214,AC-HE-HL-U509-R,Sport-100 Helmet- Red,13,S ,2013-07-01,
215,AC-HE-HL-U509,Sport-100 Helmet- Black,12,S ,2011-07-01,2007-12-28
216,AC-HE-HL-U509,Sport-100 Helmet- Black,14,S ,2012-07-01,2008-12-27
217,AC-HE-HL-U509,Sport-100 Helmet- Black,13,S ,2013-07-01,
218,CL-SO-SO-B909-M,Mountain Bike Socks- M,3,M ,2011-07-01,2007-12-28
219,CL-SO-SO-B909-L,Mountain Bike Socks- L,3,M ,2011-07-01,2007-12-28
220,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,12,S ,2011-07-01,2007-12-28
221,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,14,S ,2012-07-01,2008-12-27
222,AC-HE-HL-U509-B,Sport-100 Helmet- Blue,13,S ,2013-07-01,
223,CL-CA-CA-1098,AWC Logo Cap,6,S ,2011-07-01,2007-12-28
224,CL-CA-CA-1098,AWC Logo Cap,5,S ,2012-07-01,2008-12-27
225,CL-CA-CA-1098,AWC Logo Cap,7,S ,2013-07-01,
226,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,32,S ,2011-07-01,2007-12-28
227,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,29,S ,2012-07-01,2008-12-27
228,CL-JE-LJ-0192-S,Long-Sleeve Logo Jersey- S,38,S ,2013-07-01,
229,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,32,S ,2011-07-01,2007-12-28
230,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,29,S ,2012-07-01,2008-12-27
231,CL-JE-LJ-0192-M,Long-Sleeve Logo Jersey- M,38,S ,2013-07-01,
232,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,32,S ,2011-07-01,2007-12-28
233,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,29,S ,2012-07-01,2008-12-27
234,CL-JE-LJ-0192-L,Long-Sleeve Logo Jersey- L,38,S ,2013-07-01,
235,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,32,S ,2011-07-01,2007-12-28
236,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,29,S ,2012-07-01,2008-12-27
237,CL-JE-LJ-0192-X,Long-Sleeve Logo Jersey- XL,38,S ,2013-07-01,
238,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,748,R ,2011-07-01,2007-12-28
239,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,722,R ,2012-07-01,2008-12-27
240,CO-RF-FR-R92R-62,HL Road Frame - Red- 62,869,R ,2013-07-01,
241,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,748,R ,2011-07-01,2007-12-28
242,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,722,R ,2012-07-01,2008-12-27
243,CO-RF-FR-R92R-44,HL Road Frame - Red- 44,869,R ,2013-07-01,
244,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,748,R ,2011-07-01,2007-12-28
245,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,722,R ,2012-07-01,2008-12-27
246,CO-RF-FR-R92R-48,HL Road Frame - Red- 48,869,R ,2013-07-01,
247,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,748,R ,2011-07-01,2007-12-28
248,CO-RF-FR-R92R-52,HL Road Frame - Red- 52,722,R ,2012-07-01,2008-12-27
