CID,BDATE,GEN
NASAW00011000,1971-10-06,Male
NASAW00011001,1976-05-10,Male
NASAW00011002,1971-02-09,Male
NASAW00011003,1973-08-14,Female
NASAW00011004,1979-08-05,Female
NASAW00011005,1976-08-01,Male
NASAW00011006,1976-12-02,Female
NASAW00011007,1969-11-06,Male
NASAW00011008,1975-07-04,Female
NASAW00011009,1969-09-29,Male
NASAW00011010,1969-08-05,Female
NASAW00011011,1969-05-03,Male
NASAW00011012,1979-01-14,Female
NASAW00011013,1979-08-03,Male
NASAW00011014,1973-11-06,Female
NASAW00011015,1984-08-26,Female
NASAW00011016,1984-10-25,Male
NASAW00011017,1949-12-24,Female
NASAW00011018,1955-10-06,Male
NASAW00011019,1983-09-04,Male
NASAW00011020,1984-03-19,Male
NASAW00011021,1984-03-02,Female
NASAW00011022,1984-04-10,Female
NASAW00011023,1984-04-09,Female
NASAW00011024,1984-03-16,Female
NASAW00011025,1951-06-22,Female
NASAW00011026,1951-10-01,Female
NASAW00011027,1952-06-05,Female
NASAW00011028,1951-10-09,Female
NASAW00011029,1952-06-19,Female
NASAW00011030,1958-02-18,Female
NASAW00011031,1953-02-18,Female
NASAW00011032,1952-12-08,Female
NASAW00011033,1958-09-19,Female
NASAW00011034,1952-12-16,Female
NASAW00011035,1953-08-23,Female
NASAW00011036,1984-06-16,Female
NASAW00011037,1983-05-27,Female
NASAW00011038,1953-09-20,Female
NASAW00011039,1954-06-16,  
NASAW00011040,1983-01-29, 
NASAW00011041,1983-04-15, 
NASAW00011042,1982-12-11,Female
NASAW00011043,1981-08-23,Female
NASAW00011044,1954-11-21,Female
NASAW00011045,1955-11-16,Female
NASAW00011046,1955-09-19,Female
NASAW00011047,1955-08-27,Female
NASAW00011048,1956-05-21,Female
